place_id,name,address,latitude,longitude,total_reviews,avg_rating,avg_polarity,positive_reviews,negative_reviews,neutral_reviews,positive_ratio,negative_ratio,sentiment_score
ChIJP5QVGbuapgAR_X_Am2ZGNgI,Posto Shell,"Av. Cristiano Machado, 9434 - Vila Suzana, Belo Horizonte - MG, 31812-112, Brazil",-19.849248,-43.932656,5,4.0,0.1,3,1,1,0.6,0.2,2
ChIJQ-aBDgzChpQRLccZjA8rlPA,Auto Posto Mancoes,"Lava jato Arara Zul - Zona Rural, Campo Grande - MS, 79064-000, Brazil",-20.3837505,-54.5435518,5,4.8,0.24866666666666665,2,0,3,0.4,0.0,2
ChIJxR-TRFEwlgARBK76Nl4geJM,Posto Shell,"Rua Gastão Henrique Schueler - RJ-168, 1178 - Botafogo, Macaé - RJ, 27901-970, Brazil",-22.3617468,-41.8001007,4,3.5,0.40249999999999997,2,0,2,0.5,0.0,2
ChIJR4pPK8nzoJMR18DlgwZDOOE,Auto Posto Tibirissa,"Av. Rio Grande do Sul, 323 - Centro, Lucas do Rio Verde - MT, 78455-000, Brazil",-13.0629721,-55.9191975,5,3.4,0.31625000000000003,2,0,3,0.4,0.0,2
ChIJmaBOzAxUAQcR3lonsqClgfI,MAXI POSTO ECOLOGICO LTDA,"10,7, AL-101, s/n - Praia do Francês, Mal. Deodoro - AL, 57160-000, Brazil",-9.761674,-35.8441236,5,4.6,0.3,2,0,3,0.4,0.0,2
ChIJ27r_nwvPyJQR2V6PBYwRhDM,Posto Shell Andorinhas,"Av. José de Sousa Campos, 2101 - Cambuí, Campinas - SP, 13025-320, Brazil",-22.88766619999999,-47.0448046,3,3.0,0.13551020408163264,2,0,1,0.6666666666666666,0.0,2
ChIJuSgbCEeWfpQRqMsruqVE_8o,AUTO POSTO ARARA AZUL LTDA,"BR-262, S/N - Zona Rural, Miranda - MS, 79380-000, Brazil",-20.2334755,-56.37859599999999,3,4.666666666666667,0.3666666666666667,2,0,1,0.6666666666666666,0.0,2
ChIJn3BBgKAHpAARRWTMUC2i2y8,Posto Topázio Imperial,"Rodovia dos Inconfidentes, 72 - Cachoeira do Campo, Ouro Preto - MG, 35410-000, Brazil",-20.3477268,-43.67581360000001,3,3.6666666666666665,0.6,2,0,1,0.6666666666666666,0.0,2
ChIJbSBv0iFFGZUR5KEXi4Q2WDQ,Posto Shell,"Av. Bom Jardim, 670 - Cidade Nova, Ivoti - RS, 93900-000, Brazil",-29.6227194,-51.1591626,5,4.2,0.13666666666666666,2,0,3,0.4,0.0,2
ChIJ_zng6gD3zpQR1dcx8-sdvhg,Auto Posto Estaçao Carandiru,"Av. Gen. Ataliba Leonel, 275 - Santana, São Paulo - SP, 02033-000, Brazil",-23.506454,-46.624119,4,1.0,0.20833333333333331,2,0,2,0.5,0.0,2
