PLACE ID ,RAZAOSOCIAL
Ek5SLiBJdGF1ZWlyYSAtIFBhcnF1ZSBHZXTDumxpbyBWYXJnYXMsIEZlaXJhIGRlIFNhbnRhbmEgLSBCQSwgNDQwNzYtODA0LCBCcmF6aWwiLiosChQKEgm1Q2tAYTcUBxFJIxGzFmsFGBIUChIJHd6jnGQ3FAcRfgQoFLtRLe8,POSTO GETULIO DERIVADOS DE PETROLEO LTDA
ChIJ44PdgQSVAJURh6YUmrnzzmg,HOERLLE & ASSUMPCAO LTDA
ChIJt50LPodkfJMR5XHZyjDwa6Q,MAHLE ARAGUAIA COMERCIO DE COMBUSTIVEIS LTDA
ChIJc8sq1dhjgwcRY_CS7ImO-sw,AUTO POSTO CAJUEIRO LTDA
ChIJazqA-NpqagcRxqiTL25_S4w,J. H . COMBUSTIVEIS LTDA
ChIJP7MtX9Hk3JQRvKxDlYtJWpA,AUTO POSTO CHARGE HAUER LTDA
ChIJEf_Ya14cxpQRJluTEbxXmGU,AUTO POSTO BARNABE & SILVA LTDA
ChIJH0oIkm6DEZURavs0eKt7JaQ,ABASTECEDORA DE COMBUSTIVEIS TERESOPOLIS LTDA
INVALID,AUTO POSTO ATENAS DE MATAO LTDA
INVALID,AUTO POSTO BRANDAO COSTA LTDA
ChIJtVL2ySepsJQRuqTkw0UqHxc,BGS COMERCIO DE DERIVADOS DE PETROLEO LTDA
ChIJIwa5ANHQ7JQREGRjiYU37vk,COMERCIO DE COMBUSTIVEL FLEX LTDA
ChIJE8jwGYk3FAcRdWmRV58L0Dc,POSTO KALILANDIA LTDA
ChIJg_k6U2DBsJQRfpb0EQwgHQQ,AUTO POSTO RIBEIRO LTDA
ChIJQy9P1INVpwARgujUuUJrZSc,AUTO POSTO OLIVEIRA LTDA
ChIJtyWNfZwy_JQRZIxFnK7Sa2o,AUTO POSTO JK LTDA
INVALID,SANTA FE - SERVIÃ‡OS E PETROLEO LTDA
ChIJE8JDt1IwWpMRxl40zt4wvhQ,POSTO VIA ESTRUTURAL COMERCIO DE DERIVADOS DE PETROLEO LTDA
